entrez_id,corr_cnv_mrna,pval_cnv_mrna,corr_mrna_prot,pval_mrna_prot,corr_cnv_prot,pval_cnv_prot,n_samples_cnv_mrna,n_samples_mrna_prot,n_samples_cnv_prot,gene_symbol,category
367,0.16687200920623688,1.088373901610371e-06,0.8053811972295675,1.973276246157562e-193,0.17937533663363803,1.5540569623285454e-07,844,844,844,AR,intermediate
3673,0.1401114377663513,4.415201675325927e-05,0.37304428639302323,2.925373630911049e-29,0.07891862649438436,0.021853901570446917,844,844,844,ITGA2,transcriptional_discordant
3688,0.1254551601518069,0.0002584622866180032,-0.027396544549613575,0.43139011304321045,0.04711131249163086,0.17589243041077487,844,827,827,ITGB1,mixed_discordant
369,0.23278500332803542,7.538831131555252e-12,0.19920786080638156,5.303816319746575e-09,0.05960577156266546,0.0835195264117194,844,844,844,ARAF,intermediate
3717,0.1921222031545566,1.847699278200704e-08,0.17116499589031725,5.667371896601886e-07,0.0741525480319427,0.031237872106294733,844,844,844,JAK2,intermediate
3725,0.09359386791695559,0.006508399532963302,0.2049467248991687,1.8653323686619334e-09,-0.01614465514004443,0.6395237909047871,844,844,844,JUN,intermediate
3791,-0.061086007071475,0.07611651442192531,0.03493282889500186,0.31074377002919945,0.05833555708211143,0.0903267515638606,844,844,844,KDR,mixed_discordant
3815,0.013527752263169553,0.6947335729067261,0.6435526916805483,7.324754954008598e-100,-0.013618736254478786,0.6927845175591735,844,844,844,KIT,transcriptional_discordant
3897,0.013304750077394411,0.6995192212933505,0.6668691886166169,1.705572511960145e-107,-0.01823278323691918,0.6005695274479894,844,827,827,L1CAM,transcriptional_discordant
3932,0.030762723083215565,0.37207385145519867,0.6150155326328395,5.799758117723561e-89,-0.05841873785815071,0.08986774722771884,844,844,844,LCK,transcriptional_discordant
3981,0.2892911411165885,9.825299381369763e-18,0.1401189636721037,5.2691876768585496e-05,0.2076866875016729,1.6456923362224618e-09,844,827,827,LIG4,intermediate
4040,0.3388249002956303,4.0667972286682555e-24,0.07003825218198428,0.04405583124706582,0.13691721338710278,7.812753078544536e-05,844,827,827,LRP6,post_transcriptional_discordant
4067,0.012857248178672991,0.709158514853977,0.6391169172373445,3.780352705807869e-96,0.005985012308680853,0.8635508606481073,844,827,827,LYN,transcriptional_discordant
4086,0.23612072423838718,3.70466035367126e-12,0.4819093908596369,2.7241301033624066e-50,0.22472567492683165,4.0121985218542367e-11,844,844,844,SMAD1,intermediate
4088,0.20847502525434947,9.662766004004061e-10,0.42498821735572995,2.437415413881897e-38,0.1655255904824249,1.3310560617805665e-06,844,844,844,SMAD3,intermediate
4089,0.37020552512561855,8.260958110651737e-29,0.13104241286871915,0.00013462825462827807,0.05343572706666873,0.12085252638294748,844,844,844,SMAD4,post_transcriptional_discordant
4137,0.25565150786694524,4.636221572214723e-14,0.30623458508023493,2.0490148484231329e-19,0.09484332675213347,0.006343108096069026,844,827,827,MAPT,intermediate
4193,0.44702823751074117,1.060588672487438e-42,0.09212982743377396,0.008023813160170456,0.02139848737660983,0.5388790960646516,844,827,827,MDM2,post_transcriptional_discordant
4233,0.07482207419164862,0.029740255409537168,0.10862335572759424,0.0015756922654020307,-0.011150156741316947,0.7463463381131921,844,844,844,MET,mixed_discordant
4261,-0.03725564400000746,0.2796480865717766,0.1977366676720335,9.77737902805188e-09,-0.025030461006869394,0.47223947656640086,844,827,827,CIITA,intermediate
4282,0.08873373119519282,0.009904884734991766,0.09266437851777946,0.0076642338269497364,0.17154743035214626,6.953244747650026e-07,844,827,827,MIF,mixed_discordant
4286,0.034783373864172434,0.3128196706396388,0.11637124133080867,0.0007997119333232877,-0.033888905888702046,0.33036974923308776,844,827,827,MITF,mixed_discordant
4292,0.2973748859198724,1.0763007054766632e-18,0.1789198986666264,2.2263081441773536e-07,0.09422925493151099,0.006693005381738661,844,827,827,MLH1,intermediate
4313,-0.02003874499228805,0.5610013866594169,0.10871574575358295,0.0017423572345964596,-0.01409049694358706,0.6857596669478716,844,827,827,MMP2,mixed_discordant
4323,0.06557169831130615,0.056884893584679005,0.48611261744477713,2.8809122106842314e-50,0.05420635980278195,0.11932033726858489,844,827,827,MMP14,transcriptional_discordant
4361,0.46278391691297815,5.0756856756503935e-46,-0.059031273041145735,0.08654513410485448,0.009597581964765173,0.7806907057665082,844,844,844,MRE11,post_transcriptional_discordant
439,0.31419653704689054,8.578927149485737e-21,-0.16424393930368447,1.6097634314675298e-06,0.05096009980941177,0.13907525585331945,844,844,844,ASNS,post_transcriptional_discordant
440193,0.23125644328879766,1.0402060378438227e-11,0.014844215019156145,0.6699170035258917,0.05381816495180628,0.12199312807364532,844,827,827,YTHDF3,intermediate
4436,0.2904302865670024,7.22545329654868e-18,0.4097400603494069,1.6630374125900523e-35,0.2083647656509816,9.86517989612167e-10,844,844,844,MSH2,intermediate
4582,0.1365759854561851,6.875678857552319e-05,0.6672052577750456,1.2216591576328334e-107,0.1253422948433378,0.0003022643673325045,844,827,827,MUC1,transcriptional_discordant
4609,0.17642304796758612,2.491991101284191e-07,0.2518940824865209,1.1093346189728037e-13,0.08864529124316772,0.009979133211557405,844,844,844,MYC,intermediate
4627,0.2785273959122876,1.6743678249448636e-16,0.2584977670810974,2.1471482822943557e-12,0.15593565890774666,2.7781808753845632e-05,844,716,716,MYH9,intermediate
