gene_a,gene_b,gene_a_label,gene_b_label,corr_mrna,corr_protein,corr_cross_ab,corr_cross_ba,n_samples_mrna,n_samples_protein,predicate_group
599,100529063,BCL2L2 (human),BCL2L2-PABPN1 (human),0.3599769879676797,,,,878,0,genetically interacts with
653282,728042,CT47A4 (human),CT47A9 (human),,,,,0,0,genetically interacts with
8353,8350,HIST1H3J (human),HIST1H3E (human),0.19233252422806543,,,,878,0,genetically interacts with
54865,29901,GPATCH4 (human),SAC3D1 (human),0.269487772196243,,,,878,0,genetically interacts with
8339,8365,HIST1H2BF (human),HIST1H4L (human),0.6312728019650422,,,,878,0,genetically interacts with
8969,3012,HIST1H2AG (human),HIST1H2AB (human),0.5099947228587369,,,,878,0,genetically interacts with
391747,8364,TAF11L6,HIST1H4E (human),,,,,878,0,genetically interacts with
81557,728269,MAGED4 (human),MAGEA9B (human),0.1421166210298428,,,,878,0,genetically interacts with
8364,8361,HIST1H4E (human),HIST1H4A (human),0.7104070329001282,,,,878,0,genetically interacts with
8346,8351,HIST1H2BI (human),HIST1H3F (human),0.11120442553654178,,,,878,0,genetically interacts with
9596,442197,OR1R1P,OR2I1P,0.08323669841832797,,,,878,0,genetically interacts with
8352,723790,HIST1H3A (human),HIST2H2AA3 (human),,,,,0,0,genetically interacts with
728042,255313,CT47A9 (human),CT47A9 (human),,,,,0,0,genetically interacts with
100132406,100526693,NBPF10 (human),ARPC4-TTLL3,0.052275491860986734,,,,878,0,genetically interacts with
728269,4101,MAGEA9B (human),MAGEA2B (human),0.13027604497830997,,,,878,0,genetically interacts with
548593,654483,SLX1B (human),BOLA2 (human),,,,,0,0,genetically interacts with
10941,341277,UGT2A1 (human),OVCH2 (human),0.014623248618566134,,,,878,0,genetically interacts with
8367,8363,HIST1H4F (human),HIST1H4B (human),0.4055302624953932,,,,878,0,genetically interacts with
8366,8365,HIST1H4D (human),HIST1H4L (human),0.29501455462594994,,,,878,0,genetically interacts with
